Accident_Index,Accident_Severity
2016010002948,3
2016010002951,3
2016010002955,2
2016010002956,3
2016010002958,3
2016010002959,3
2016010002965,3
2016010002968,2
2016010002971,3
2016010002972,3
2016010002975,3
2016010002976,3
2016010002977,2
2016010002979,3
2016010002980,2
2016010002981,3
2016010002984,3
2016010002988,3
2016010002991,3
2016010002993,3
2016010002994,2
2016010002996,3
2016010002997,3
2016010002998,3
2016010002999,3
2016010003004,3
2016010003006,3
2016010003007,3
2016010003008,3
2016010003009,3
2016010003010,2
2016010003011,3
2016010003012,3
2016010003013,3
2016010003014,3
2016010003015,3
2016010003017,3
2016010003019,3
2016010003020,2
2016010003022,3
2016010003023,3
2016010003024,3
2016010003025,3
2016010003026,3
2016010003027,3
2016010003029,3
2016010003030,2
2016010003031,3
2016010003032,3
2016010003034,3
2016010003035,2
2016010003036,3
2016010003037,3
2016010003039,3
2016010003040,3
2016010003041,3
2016010003042,3
2016010003044,3
2016010003045,3
2016010003046,3
2016010003048,3
2016010003049,2
2016010003050,3
2016010003051,3
2016010003054,3
2016010003058,3
2016010003059,3
2016010003066,3
2016010003074,3
2016010003076,3
2016010003082,3
2016010003083,2
2016010003099,3
2016010003101,3
2016010003104,3
2016010003108,3
2016010003115,3
2016010003119,3
2016010003120,3
