Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010000882,1,2,2,0,0,1
2016010000883,4,8,2,0,0,1
2016010000884,4,2,2,0,0,1
2016010000885,7,9,-1,-1,-1,1
2016010000890,4,2,2,0,0,1
2016010000891,4,8,2,0,-1,1
2016010000893,1,1,2,0,0,1
2016010000894,4,1,1,0,0,1
2016010000895,1,1,2,0,0,1
2016010000899,1,1,1,0,0,1
2016010000901,1,2,2,0,0,1
2016010000902,1,1,1,0,0,1
2016010000903,1,1,1,0,0,1
2016010000906,4,2,2,0,2,1
2016010000911,1,1,2,5,0,2
2016010000912,5,1,2,0,0,1
2016010000913,1,1,2,0,0,1
2016010000916,4,1,1,0,0,1
2016010000917,1,1,2,0,0,1
2016010000918,4,1,1,0,0,1
2016010000919,4,1,1,0,0,1
2016010000920,4,1,2,0,7,2
2016010000922,1,2,2,0,0,1
2016010000924,4,8,2,0,0,1
2016010000925,1,2,2,0,0,1
2016010000926,4,1,1,0,0,1
2016010000928,1,1,2,0,0,2
2016010000930,4,1,1,0,0,2
2016010000931,4,1,1,0,0,1
2016010000932,4,1,1,0,0,1
2016010000933,4,2,2,0,0,1
2016010000934,1,1,1,0,2,1
2016010000935,4,1,2,0,0,1
2016010000936,4,1,1,0,0,1
2016010000937,4,1,1,0,0,1
2016010000938,1,1,2,0,0,1
2016010000939,4,1,2,0,0,1
2016010000940,4,2,1,0,0,1
2016010000941,1,1,1,0,0,1
2016010000943,4,1,1,0,0,1
2016010000944,4,2,2,0,0,1
2016010000945,4,1,1,0,0,1
2016010000947,4,1,2,0,0,1
2016010000948,4,1,1,0,2,1
2016010000949,4,1,1,0,0,1
2016010000953,4,1,1,0,0,1
2016010000954,4,8,2,0,0,1
2016010000955,1,1,1,0,0,1
2016010000956,4,2,1,0,0,1
2016010000957,4,8,2,0,0,1
2016010000958,4,1,1,0,0,1
2016010000961,4,1,1,0,0,1
2016010000962,4,1,2,0,0,1
2016010000963,1,8,1,-1,-1,1
2016010000964,4,8,2,0,0,1
2016010000966,1,1,1,0,0,1
2016010000967,7,1,1,-1,0,1
2016010000969,1,1,1,0,2,1
2016010000970,1,1,1,-1,0,1
2016010000971,1,1,1,0,0,1
2016010000974,1,1,1,0,0,1
2016010000975,1,1,2,0,0,1
2016010000976,1,1,1,0,0,1
2016010000978,1,2,2,0,0,1
2016010000981,1,1,1,0,0,1
2016010000982,1,2,2,0,0,1
2016010000984,1,1,2,0,2,1
2016010000985,1,1,1,0,0,1
2016010000987,1,1,1,0,0,1
2016010000988,7,1,2,0,0,1
2016010000997,1,1,2,0,0,1
2016010000998,1,1,1,0,0,1
2016010001000,1,1,2,0,0,2
2016010001001,1,1,1,0,0,1
2016010001002,1,1,1,0,0,1
2016010001005,1,1,1,0,0,1
2016010001008,1,1,1,0,0,1
2016010001009,1,1,1,0,0,1
